ROCKET MAGES NET LOG
[12.4666268825531]: Sent character data
[12.483632564544678]: Sent character data
[12.500293493270874]: Sent character data
[12.517293691635132]: Sent character data
[12.534296035766602]: Sent character data
[12.55238151550293]: Sent character data
[12.569386959075928]: Sent character data
[12.586306810379028]: Sent character data
[12.602309942245483]: Sent character data
[12.61931324005127]: Sent character data
[12.636316537857056]: Sent character data
[12.653399229049683]: Sent character data
[12.671337842941284]: Sent character data
[12.68832802772522]: Sent character data
[12.70340895652771]: Sent character data
[12.721332788467407]: Sent character data
[12.737336874008179]: Sent character data
[12.754339218139648]: Sent character data
[12.77234172821045]: Sent character data
[12.789348602294922]: Sent character data
[12.80543041229248]: Sent character data
[12.82235312461853]: Sent character data
[12.839357376098633]: Sent character data
[12.856359720230103]: Sent character data
[12.873365640640259]: Sent character data
[12.890446901321411]: Sent character data
[12.907371520996094]: Sent character data
[12.924372673034668]: Sent character data
[12.942377805709839]: Sent character data
[12.95837950706482]: Sent character data
[12.975384712219238]: Sent character data
[12.991389989852905]: Sent character data
[13.008389234542847]: Sent character data
[13.02641749382019]: Sent character data
[13.042413234710693]: Sent character data
[13.060408115386963]: Sent character data
[13.07739806175232]: Sent character data
[13.09340238571167]: Sent character data
[13.111485958099365]: Sent character data
[13.128408193588257]: Sent character data
[13.144513130187988]: Sent character data
[13.162516117095947]: Sent character data
[13.178601264953613]: Sent character data
[13.196377277374268]: Sent character data
[13.212460279464722]: Sent character data
[13.229386806488037]: Sent character data
[13.246387243270874]: Sent character data
[13.263389825820923]: Sent character data
[13.280471324920654]: Sent character data
[13.298075199127197]: Sent character data
[13.315002679824829]: Sent character data
[13.333003282546997]: Sent character data
[13.350004196166992]: Sent character data
[13.368008375167847]: Sent character data
[13.384011268615723]: Sent character data
[13.403088092803955]: Sent character data
[13.420015335083008]: Sent character data
[13.438018798828125]: Sent character data
[13.455020666122437]: Sent character data
[13.473028898239136]: Sent character data
[13.491028785705566]: Sent character data
[13.506112575531006]: Sent character data
[13.52311658859253]: Sent character data
[13.539037942886353]: Sent character data
[13.556122779846191]: Sent character data
[13.573045492172241]: Sent character data
[13.59004807472229]: Sent character data
[13.60805344581604]: Sent character data
[13.626055240631104]: Sent character data
[13.644137859344482]: Sent character data
[13.660062789916992]: Sent character data
[13.67806601524353]: Sent character data
[13.695677518844604]: Sent character data
[13.712599992752075]: Sent character data
[13.728601217269897]: Sent character data
[13.745606422424316]: Sent character data
[13.762689352035522]: Sent character data
[13.779613971710205]: Sent character data
[13.79761528968811]: Sent character data
[13.813698053359985]: Sent character data
[13.830620527267456]: Sent character data
[13.84762454032898]: Sent character data
[13.865629434585571]: Sent character data
[13.881636381149292]: Sent character data
[13.899640321731567]: Sent character data
[13.915637493133545]: Sent character data
[13.932718276977539]: Sent character data
[13.949646472930908]: Sent character data
[13.967650175094604]: Sent character data
[13.984652996063232]: Sent character data
[14.000653505325317]: Sent character data
[14.017658472061157]: Sent character data
[14.034740209579468]: Sent character data
[14.052666664123535]: Sent character data
[14.068668127059937]: Sent character data
[14.08475136756897]: Sent character data
[14.102676153182983]: Sent character data
[14.119678974151611]: Sent character data
[14.135761499404907]: Sent character data
[14.15268588066101]: Sent character data
[14.169692754745483]: Sent character data
[14.18669080734253]: Sent character data
[14.203693389892578]: Sent character data
[14.220697402954102]: Sent character data
[14.237779378890991]: Sent character data
[14.255785703659058]: Sent character data
[14.271706581115723]: Sent character data
[14.289714336395264]: Sent character data
[14.306715726852417]: Sent character data
[14.322797298431396]: Sent character data
[14.33872103691101]: Sent character data
[14.355721712112427]: Sent character data
[14.372807741165161]: Sent character data
[14.390778303146362]: Sent character data
[14.406812191009521]: Sent character data
[14.423734903335571]: Sent character data
[14.440819263458252]: Sent character data
[14.458746910095215]: Sent character data
[14.475747346878052]: Sent character data
[14.491750240325928]: Sent character data
[14.509754657745361]: Sent character data
[14.525757789611816]: Sent character data
[14.543771266937256]: Sent character data
[14.559766054153442]: Sent character data
[14.57784390449524]: Sent character data
[14.594771146774292]: Sent character data
[14.612774133682251]: Sent character data
[14.628856182098389]: Sent character data
[14.64578104019165]: Sent character data
[14.66279125213623]: Sent character data
[14.679801940917969]: Sent character data
[14.695789813995361]: Sent character data
[14.713792562484741]: Sent character data
[14.729796409606934]: Sent character data
[14.746877670288086]: Sent character data
[14.76388144493103]: Sent character data
[14.780886173248291]: Sent character data
[14.797887802124023]: Sent character data
[14.814891576766968]: Sent character data
[14.832817077636719]: Sent character data
[14.84890079498291]: Sent character data
[14.86490273475647]: Sent character data
[14.880825281143188]: Sent character data
[14.897828578948975]: Sent character data
[14.914831638336182]: Sent character data
[14.932916164398193]: Sent character data
[14.949839353561401]: Sent character data
[14.96584415435791]: Sent character data
[14.982927322387695]: Sent character data
[14.999849796295166]: Sent character data
[15.016851902008057]: Sent character data
[15.033854961395264]: Sent character data
[15.051860809326172]: Sent character data
[15.068056583404541]: Sent character data
[15.085137128829956]: Sent character data
[15.101141214370728]: Sent character data
[15.117063045501709]: Sent character data
[15.134066820144653]: Sent character data
[15.152069091796875]: Sent character data
[15.171072244644165]: Sent character data
[15.187075138092041]: Sent character data
[15.204161882400513]: Sent character data
[15.221163511276245]: Sent character data
[15.238085269927979]: Sent character data
[15.256089925765991]: Sent character data
[15.273094892501831]: Sent character data
[15.289100170135498]: Sent character data
[15.306101083755493]: Sent character data
[15.323182344436646]: Sent character data
[15.340108394622803]: Sent character data
[15.35811161994934]: Sent character data
[15.375114440917969]: Sent character data
[15.392117738723755]: Sent character data
[15.408118486404419]: Sent character data
[15.425123691558838]: Sent character data
[15.442127704620361]: Sent character data
[15.457128763198853]: Sent character data
[15.475136041641235]: Sent character data
[15.491217136383057]: Sent character data
[15.509141206741333]: Sent character data
[15.52614426612854]: Sent character data
[15.543148040771484]: Sent character data
[15.560151100158691]: Sent character data
[15.577152013778687]: Sent character data
[15.593156814575195]: Sent character data
[15.610161304473877]: Sent character data
[15.626164436340332]: Sent character data
[15.643166303634644]: Sent character data
[15.661168575286865]: Sent character data
[15.679362535476685]: Sent character data
[15.695367574691772]: Sent character data
[15.712369203567505]: Sent character data
[15.72937273979187]: Sent character data
[15.746376514434814]: Sent character data
[15.762379884719849]: Sent character data
[15.77938199043274]: Sent character data
[15.796383380889893]: Sent character data
[15.813467025756836]: Sent character data
[15.830389261245728]: Sent character data
[15.847394227981567]: Sent character data
[15.864396095275879]: Sent character data
[15.882481336593628]: Sent character data
[15.898403882980347]: Sent character data
[15.915407180786133]: Sent character data
[15.932491302490234]: Sent character data
[15.9494149684906]: Sent character data
[15.966416120529175]: Sent character data
[15.983425617218018]: Sent character data
[16.00042223930359]: Sent character data
[16.017425537109375]: Sent character data
[16.034507751464844]: Sent character data
[16.05243444442749]: Sent character data
[16.069437503814697]: Sent character data
[16.085518836975098]: Sent character data
[16.10252285003662]: Sent character data
[16.11944842338562]: Sent character data
[16.136450052261353]: Sent character data
[16.153530836105347]: Sent character data
[16.170536279678345]: Sent character data
[16.188459634780884]: Sent character data
[16.204464197158813]: Sent character data
[16.221545696258545]: Sent character data
[16.238469123840332]: Sent character data
[16.255553007125854]: Sent character data
[16.27347707748413]: Sent character data
[16.288477897644043]: Sent character data
[16.306483507156372]: Sent character data
[16.322566270828247]: Sent character data
[16.339550495147705]: Sent character data
[16.35649037361145]: Sent character data
[16.373496770858765]: Sent character data
[16.39049792289734]: Sent character data
[16.407501935958862]: Sent character data
[16.425503492355347]: Sent character data
[16.44250798225403]: Sent character data
[16.459512948989868]: Sent character data
[16.476513624191284]: Sent character data
[16.492518186569214]: Sent character data
[16.510521173477173]: Sent character data
[16.52571964263916]: Sent character data
[16.543721199035645]: Sent character data
[16.56072425842285]: Sent character data
[16.577727556228638]: Sent character data
[16.59481120109558]: Sent character data
[16.61173176765442]: Sent character data
[16.62873911857605]: Sent character data
[16.6457417011261]: Sent character data
[16.662743091583252]: Sent character data
[16.679748058319092]: Sent character data
[16.69582962989807]: Sent character data
[16.7127525806427]: Sent character data
[16.72975993156433]: Sent character data
[16.747761487960815]: Sent character data
[16.763840436935425]: Sent character data
[16.780845403671265]: Sent character data
[16.797770738601685]: Sent character data
[16.81477117538452]: Sent character data
[16.83177614212036]: Sent character data
[16.848778247833252]: Sent character data
[16.86586332321167]: Sent character data
[16.882787466049194]: Sent character data
[16.899794101715088]: Sent character data
[16.91679358482361]: Sent character data
[16.93379545211792]: Sent character data
[16.9508798122406]: Sent character data
[16.967881441116333]: Sent character data
[16.98588752746582]: Sent character data
[17.001808643341064]: Sent character data
[17.017813205718994]: Sent character data
[17.0348162651062]: Sent character data
[17.05181860923767]: Sent character data
[17.069823503494263]: Sent character data
[17.08582329750061]: Sent character data
[17.102829933166504]: Sent character data
[17.119831085205078]: Sent character data
[17.13583278656006]: Sent character data
[17.15284037590027]: Sent character data
